,avg_attribution_coeff_bw,relative_order_bw,feature_importance_rank_bw,avg_attribution_coeff_claix,relative_order_claix,feature_importance_rank_claix
POSIX_SEQ_READS,0.0028937695520610904,27.0,41.0,0.003266442226554948,29.0,42.0
POSIX_WRITES,0.0028284913646507755,28.0,42.0,0.0030338485055123455,30.0,44.0
WRITE_0_100,0.0027491421848440905,29.0,43.0,0.003517860917921687,26.0,37.0
POSIX_STRIDE3_COUNT,0.002739231610948937,30.0,44.0,0.003420218277804521,28.0,39.0
POSIX_OPENS,0.002431802063694695,31.0,47.0,0.0014973584338320136,45.0,61.0
POSIX_MAX_BYTE_WRITTEN,0.002417668877217573,32.0,48.0,0.003426382902099296,27.0,38.0
POSIX_STATS,0.0021649577069930747,33.0,49.0,0.0015166109543210255,44.0,60.0
READ_1M_4M,0.0020224368728539383,34.0,51.0,0.002729823187488195,31.0,46.0
READ_0_100,0.0013968269060060463,35.0,52.0,8.574708501729377e-05,66.0,92.0
POSIX_SLOWEST_RANK,0.0013729738697631426,36.0,53.0,0.0022455594890748946,35.0,51.0
POSIX_BYTES_READ,0.0013362410319474039,37.0,54.0,0.001994928777035959,36.0,52.0
POSIX_SIZE_READ_10M_100M,0.0013320815703162837,38.0,55.0,0.00029361656873605035,62.0,88.0
POSIX_ACCESS4_ACCESS,0.0013117087550388463,39.0,56.0,0.00233794395117861,34.0,49.0
POSIX_SIZE_READ_1M_4M,0.0013059546469796385,40.0,57.0,0.001788086410933483,40.0,56.0
POSIX_SIZE_WRITE_10M_100M,0.0012057261242005898,41.0,59.0,0.0017893129405811444,39.0,55.0
POSIX_MMAPS,0.0011683825298881775,42.0,60.0,0.0018568237233154135,37.0,53.0
POSIX_RW_SWITCHES,0.0010787894919380193,43.0,66.0,0.002440373934725403,33.0,48.0
WRITE_10M_100M,0.0010519136401589183,44.0,67.0,0.0011795092533806763,48.0,66.0
POSIX_STRIDE2_COUNT,0.0010271056813604823,45.0,68.0,0.0012909107517515212,46.0,64.0
READ_10M_100M,0.0010230176963302766,46.0,69.0,0.0005843120927829648,56.0,80.0
POSIX_SIZE_READ_0_100,0.0009456934161138964,47.0,71.0,0.00065212293469366,53.0,77.0
POSIX_SIZE_READ_1K_10K,0.0008359633245610192,48.0,73.0,0.0015970484022970143,42.0,58.0
READ_1K_10K,0.0008084836294910914,49.0,75.0,0.0024750674595801136,32.0,47.0
POSIX_STRIDE4_STRIDE,0.000718645817129426,50.0,78.0,0.0017939944374175294,38.0,54.0
POSIX_F_FASTEST_RANK_TIME,0.0006398361207224259,51.0,80.0,0.0011567191596578135,50.0,68.0
POSIX_SIZE_READ_1G_PLUS,0.0005951980923959694,52.0,81.0,0.0004891929367944961,58.0,82.0
POSIX_FASTEST_RANK_BYTES,0.0005123725653022703,53.0,82.0,0.0016024673315380717,41.0,57.0
POSIX_FSYNCS,0.0004222612313479721,54.0,83.0,0.0011744209416231911,49.0,67.0
READ_1G_PLUS,0.00034241608266406934,55.0,84.0,0.00046906194130819377,59.0,83.0
POSIX_STRIDE1_STRIDE,0.0002996722465211704,56.0,85.0,5.806583557694568e-05,70.0,96.0
WRITE_100M_1G,0.00029829554660905865,57.0,86.0,0.00026773808491539563,64.0,90.0
POSIX_DUPS,0.00028579181264003797,58.0,87.0,0.00012986628913344694,65.0,91.0
POSIX_RENAME_TARGETS,0.00025035832013973526,59.0,88.0,0.000567800334151424,57.0,81.0
POSIX_SIZE_READ_100M_1G,0.00021727511646275216,60.0,89.0,0.0011965341175332331,47.0,65.0
POSIX_RENAME_SOURCES,0.00021058276923464257,61.0,90.0,0.0005926114670054966,55.0,79.0
POSIX_SIZE_READ_4M_10M,0.00019440713154487873,62.0,91.0,7.275226019815967e-05,68.0,94.0
POSIX_SIZE_WRITE_100M_1G,0.00019249183164405433,63.0,92.0,0.0006214092701939741,54.0,78.0
READ_4M_10M,0.0001037124148024945,64.0,94.0,0.00039815685811109156,61.0,85.0
WRITE_1G_PLUS,4.2468647255948424e-05,65.0,95.0,-0.001074822126091651,79.0,69.0
READ_100M_1G,4.182531845135293e-05,66.0,96.0,0.00029126979175889405,63.0,89.0
POSIX_SIZE_WRITE_1G_PLUS,3.7528189171951274e-05,67.0,97.0,-0.00039694226729914073,73.0,86.0
POSIX_ACCESS3_ACCESS,-0.00012222225568565373,68.0,93.0,0.0006845050378374548,52.0,76.0
POSIX_CONSEC_READS,-0.0007063081120332373,69.0,79.0,1.785513192647136e-06,71.0,97.0
POSIX_SIZE_WRITE_1M_4M,-0.0007442783012541291,70.0,77.0,-0.000992318417837668,77.0,71.0
POSIX_ACCESS3_COUNT,-0.0007905284269528834,71.0,76.0,-0.0013447619983182172,80.0,63.0
WRITE_1M_4M,-0.0008167858203366856,72.0,74.0,-0.0007159163095460613,75.0,74.0
POSIX_MEM_NOT_ALIGNED,-0.0008832392034932687,73.0,72.0,-0.0009989457155123542,78.0,70.0
POSIX_SIZE_READ_10K_100K,-0.0009675002363290207,74.0,70.0,0.000456794753552247,60.0,84.0
POSIX_STRIDE2_STRIDE,-0.0010952905086251403,75.0,65.0,-0.0007300887103923409,76.0,73.0
READ_10K_100K,-0.0011133434354499312,76.0,64.0,7.843461451273883e-05,67.0,93.0
POSIX_SIZE_WRITE_1K_10K,-0.0011195596397357299,77.0,63.0,-0.0003324968543821912,72.0,87.0
rank,-0.001139836024719597,78.0,62.0,0.0009527552357209852,51.0,72.0
POSIX_FASTEST_RANK,-0.001160491293737984,79.0,61.0,7.248545899719078e-05,69.0,95.0
WRITE_1K_10K,-0.0012442427782627151,80.0,58.0,-0.0007064452559055698,74.0,75.0
POSIX_MEM_ALIGNMENT,-0.002077922775834582,81.0,50.0,-0.0028376329950204624,83.0,45.0
POSIX_ACCESS4_COUNT,-0.0026165134202195527,82.0,46.0,-0.004361569761933843,89.0,30.0
POSIX_FILE_ALIGNMENT,-0.0027066353949605224,83.0,45.0,-0.003113218707230773,84.0,43.0
POSIX_MAX_BYTE_READ,-0.0029001781091135765,84.0,40.0,-0.0033714515881280143,85.0,41.0
WRITE_4M_10M,-0.003192738464381694,85.0,37.0,-0.002327274585101938,82.0,50.0
POSIX_SIZE_WRITE_4M_10M,-0.003996853351552228,86.0,33.0,-0.0013617081892748667,81.0,62.0
POSIX_STRIDE3_STRIDE,-0.004151221342816567,87.0,32.0,-0.003921523178134447,88.0,33.0
POSIX_STRIDE4_COUNT,-0.004668339131933688,88.0,30.0,-0.003381340193011678,86.0,40.0
POSIX_BYTES_WRITTEN,-0.007320444144758302,89.0,24.0,-0.006417472614524064,94.0,22.0
POSIX_SIZE_WRITE_10K_100K,-0.00741995745013858,90.0,22.0,-0.005071624150226174,91.0,28.0
POSIX_SIZE_WRITE_100K_1M,-0.007464657135352386,91.0,21.0,-0.004704442948733765,90.0,29.0
WRITE_100K_1M,-0.00757288762118795,92.0,20.0,-0.0037381378723012355,87.0,34.0
POSIX_SIZE_READ_100K_1M,-0.007845515522631711,93.0,19.0,-0.0054880660622859435,93.0,24.0
POSIX_MODE,-0.008325829932896834,94.0,18.0,-0.009397269528971006,96.0,14.0
WRITE_10K_100K,-0.008513156170768107,95.0,16.0,-0.006823181442718623,95.0,20.0
READ_100K_1M,-0.00853445718158585,96.0,15.0,-0.005395842285480677,92.0,25.0
POSIX_MAX_READ_TIME_SIZE,-0.014564409547790615,97.0,8.0,-0.01370543692871491,97.0,8.0
